family,sciname,common
Acanthuridae,Acanthurus chirurgus,Doctorfish
Acanthuridae,Acanthurus coeruleus,Blue tang
Balistidae,Balistes vetula,Queen triggerfish
Balistidae,Canthidermis sufflamen,Ocean triggerfish
Balistidae,Melichthys niger,Black durgon
Bothidae,Bothus lunatus,Peacock flounder
Carangidae,Carangoides bartholomaei,Yellow jack
Carangidae,Caranx latus,Horse-Eye jack
Carangidae,Seriola dumerili,Greater amberjack
Carangidae,Seriola rivoliana,Almaco jack
Chaetodontidae,Chaetodon ocellatus,Spotfin butterflyfish
Chaetodontidae,Chaetodon striatus,Banded butterflyfish
Diodontidae,Diodon holocanthus,Balloonfish
Diodontidae,Diodon hystrix,Porcupinefish
Haemulidae,Anisotremus surinamensis,Black margate
Haemulidae,Haemulon album,Margate
Haemulidae,Haemulon carbonarium,Caesar grunt
Haemulidae,Haemulon flavolineatum,French grunt
Haemulidae,Haemulon sciurus,Bluestriped grunt
Holocentridae,Holocentrus adscensionis,Squirrelfish
Holocentridae,Holocentrus rufus,Longspine squirrelfish
Kyphosidae,Kyphosus sectatrix,Bermuda chub
Labridae,Bodianus rufus,Spanish hogfish
Labridae,Halichoeres radiatus,Puddingwife
Lutjanidae,Lutjanus analis,Mutton snapper
Lutjanidae,Lutjanus apodus,Schoolmaster
Lutjanidae,Lutjanus buccanella,Blackfin snapper
Lutjanidae,Lutjanus griseus,Gray snapper
Lutjanidae,Lutjanus jocu,Dog snapper
Lutjanidae,Lutjanus mahogoni,Mahogany snapper
Lutjanidae,Lutjanus synagris,Lane snapper
Lutjanidae,Ocyurus chrysurus,Yellowtail snapper
Lutjanidae,Rhomboplites aurorubens,Vermilion snapper
Monacanthidae,Aluterus monoceros,Unicorn filefish
Monacanthidae,Aluterus scriptus,Scrawled filefish
Monacanthidae,Cantherhines macrocerus,Whitespotted filefish
Mullidae,Mulloidichthys martinicus,Yellow goatfish
Muraenidae,Gymnothorax funebris,Green moray
Ostraciidae,Acanthostracion polygonius,Honeycomb cowfish
Ostraciidae,Lactophrys bicaudalis,Spotted trunkfish
Ostraciidae,Lactophrys triqueter,Smooth trunkfish
Pomacanthidae,Holacanthus ciliaris,Queen angelfish
Pomacanthidae,Holacanthus tricolor,Rock beauty
Pomacanthidae,Pomacanthus arcuatus,Gray angelfish
Pomacanthidae,Pomacanthus paru,French angelfish
Scaridae,Scarus taeniopterus,Princess parrotfish
Scaridae,Scarus vetula,Queen parrotfish
Scaridae,Sparisoma viride,Stoplight parrotfish
Sciaenidae,Equetus punctatus,Spotted drum
Scorpaenidae,Pterois volitans,Red lionfish
Serranidae,Cephalopholis fulva,Coney
Serranidae,Epinephelus guttatus,Red hind
Serranidae,Epinephelus striatus,Nassau grouper
Sparidae,Calamus bajonado,Jolthead porgy
Sparidae,Calamus pennatula,Pluma porgy
