TrapID,Date_YMD,Exp_or_Cont,design,days_since_last_haul,depth_m,N_coord,W_coord,location_exposure,Habitat,mean_length_cm,total_biomass_kg,no_fish,no_species
C1,2018-03-16,Control,Z,4,NA,NA,NA,Leeward,NA,0,0,0,0
C1,2018-03-24,Control,Z,4,NA,NA,NA,Leeward,NA,0,0,0,0
C1,2018-03-28,Control,Z,4,NA,NA,NA,Leeward,NA,0,0,0,0
C10,2018-03-16,Control,Z,4,NA,16.82304,-62.20645,Leeward,Coral Reef,25.5,0.25,1,1
C10,2018-03-20,Control,Z,4,NA,16.82304,-62.20645,Leeward,Coral Reef,0,0,0,0
C10,2018-03-24,Control,Z,4,NA,16.82304,-62.20645,Leeward,Coral Reef,20,0.475,3,2
C11,2018-06-05,Control,V,14,44.8056,16.8498166666667,-62.1785666666667,Windward,Algal Reef (Hard Bottom),28.2,3.74,10,6
C11,2018-06-19,Control,V,14,44.8056,16.8498166666667,-62.1785666666667,Windward,Algal Reef (Hard Bottom),28.25,8.48,8,4
C11,2018-08-28,Control,V,14,44.8056,16.8498166666667,-62.1785666666667,Windward,Algal Reef (Hard Bottom),30.4166666666667,3.48,6,3
C11,2018-09-11,Control,V,14,44.8056,16.8498166666667,-62.1785666666667,Windward,Algal Reef (Hard Bottom),22.0862068965517,6.72,29,8
C11,2018-09-23,Control,V,12,44.8056,16.8498166666667,-62.1785666666667,Windward,Algal Reef (Hard Bottom),27.75,2.36,6,3
C12,2018-04-30,Control,V,6,NA,16.8518,-62.1755166666667,Windward,Coral Reef,30.75,1.055,2,1
C12,2018-06-05,Control,V,14,NA,16.8518,-62.1755166666667,Windward,Coral Reef,27.5625,3.38,8,3
C12,2018-08-28,Control,V,14,NA,16.8518,-62.1755166666667,Windward,Coral Reef,28.75,1.86,4,3
C12,2018-09-11,Control,V,14,NA,16.8518,-62.1755166666667,Windward,Coral Reef,20,0.14,1,1
C12,2018-09-23,Control,V,12,NA,16.8518,-62.1755166666667,Windward,Coral Reef,26.5,2.22,4,3
C13,2018-04-30,Control,V,6,NA,16.8529666666667,-62.1763166666667,Windward,Coral Reef,29.3333333333333,1.44,3,1
C13,2018-09-23,Control,V,12,NA,16.8529666666667,-62.1763166666667,Windward,Coral Reef,29.375,1.76,4,2
C14,2018-04-30,Control,V,6,47.8536,16.8427,-62.1686666666667,Windward,Algal Reef (Hard Bottom),29.625,1.495,4,2
C14,2018-08-28,Control,V,14,47.8536,16.8427,-62.1686666666667,Windward,Algal Reef (Hard Bottom),0,0,0,0
C15,2018-08-28,Control,V,14,48.768,16.8431833333333,-62.1676166666667,Windward,Algal Reef (Hard Bottom),33.5,0.86,1,1
C15,2018-09-11,Control,V,14,48.768,16.8431833333333,-62.1676166666667,Windward,Algal Reef (Hard Bottom),27.2857142857143,2.5,7,5
C16,2018-08-28,Control,V,14,19.812,16.7102833333333,-62.2405833333333,Leeward,Sand,23.3,2.74,10,5
C17,2018-08-28,Control,V,14,26.8224,16.7097333333333,-62.241,Leeward,Sand,24.71875,3.76,16,2
C17,2018-09-23,Control,V,12,26.8224,16.7097333333333,-62.241,Leeward,Sand,23.8,2.82,10,3
C18,2018-08-28,Control,V,14,NA,16.7108333333333,-62.2399,Leeward,Seagrass,24.7647058823529,5.1,17,9
C18,2018-09-11,Control,V,14,NA,16.7108333333333,-62.2399,Leeward,Seagrass,24.2777777777778,2.62,9,5
C18,2018-09-23,Control,V,12,NA,16.7108333333333,-62.2399,Leeward,Seagrass,27.125,1.78,4,3
C18,2018-10-23,Control,V,30,NA,16.7108333333333,-62.2399,Leeward,Seagrass,26.3333333333333,1.1,3,3
C18,2018-11-21,Control,V,29,NA,16.7108333333333,-62.2399,Leeward,Seagrass,25.75,3.74,8,2
C19,2018-08-28,Control,V,14,NA,16.7113166666667,-62.2389166666667,Leeward,Coral Reef,23.5,3.06,12,5
C19,2018-09-11,Control,V,14,NA,16.7113166666667,-62.2389166666667,Leeward,Coral Reef,21.5416666666667,2.98,12,4
C19,2018-09-23,Control,V,12,NA,16.7113166666667,-62.2389166666667,Leeward,Coral Reef,22.3333333333333,4.16,15,4
C19,2018-10-23,Control,V,30,NA,16.7113166666667,-62.2389166666667,Leeward,Coral Reef,28.75,0.88,2,2
C2,2018-03-16,Control,Z,4,NA,NA,NA,Leeward,NA,0,0,0,0
C2,2018-03-20,Control,Z,4,NA,NA,NA,Leeward,NA,19.5,3.882,23,3
C20,2018-08-28,Control,V,14,NA,16.7116666666667,-62.2381333333333,Leeward,Coral Reef,0,0,0,0
C20,2018-09-11,Control,V,14,NA,16.7116666666667,-62.2381333333333,Leeward,Coral Reef,26.3333333333333,3.9,12,7
C20,2018-09-23,Control,V,12,NA,16.7116666666667,-62.2381333333333,Leeward,Coral Reef,27.9583333333333,11.2,24,4
C20,2018-10-23,Control,V,30,NA,16.7116666666667,-62.2381333333333,Leeward,Coral Reef,22.2857142857143,3.58,14,7
C20,2018-11-21,Control,V,29,NA,16.7116666666667,-62.2381333333333,Leeward,Coral Reef,22.4038461538462,5.8,26,9
C3,2018-03-16,Control,Z,4,27.1272,16.7078833333333,-62.23888,Leeward,Sand,25.4210526315789,8.147,19,7
C3,2018-03-20,Control,Z,4,27.1272,16.7078833333333,-62.23888,Leeward,Sand,22.2727272727273,2.334,11,5
C3,2018-03-24,Control,Z,4,27.1272,16.7078833333333,-62.23888,Leeward,Sand,22.9,2.423,10,7
C3,2018-03-28,Control,Z,4,27.1272,16.7078833333333,-62.23888,Leeward,Sand,21,1.129,5,2
C3,2018-04-03,Control,Z,6,27.1272,16.7078833333333,-62.23888,Leeward,Sand,19.5555555555556,1.675,9,2
C3,2018-04-10,Control,Z,7,27.1272,16.7078833333333,-62.23888,Leeward,Sand,20.6,7.208,35,5
C3,2018-04-17,Control,Z,7,27.1272,16.7078833333333,-62.23888,Leeward,Sand,22.25,7.76,34,7
C3,2018-04-24,Control,Z,7,27.1272,16.7078833333333,-62.23888,Leeward,Sand,21.5217391304348,6.88,23,5
C3,2018-05-01,Control,Z,7,27.1272,16.7078833333333,-62.23888,Leeward,Sand,21.08,5.466,25,9
C3,2018-05-08,Control,Z,7,27.1272,16.7078833333333,-62.23888,Leeward,Sand,24.5,1.16,2,1
C3,2018-06-05,Control,Z,14,27.1272,16.7078833333333,-62.23888,Leeward,Sand,23.8947368421053,15.345,19,8
C3,2018-06-19,Control,Z,14,27.1272,16.7078833333333,-62.23888,Leeward,Sand,27.6428571428571,8.67,14,4
C3,2018-07-03,Control,Z,14,27.1272,16.7078833333333,-62.23888,Leeward,Sand,27,3.25,3,2
C3,2018-08-02,Control,Z,30,27.1272,16.7078833333333,-62.23888,Leeward,Sand,29.3571428571429,3.52,7,5
C3,2018-08-14,Control,Z,12,27.1272,16.7078833333333,-62.23888,Leeward,Sand,27.2,1.9,5,3
C3,2018-08-28,Control,Z,14,27.1272,16.7078833333333,-62.23888,Leeward,Sand,26.1875,2.62,8,3
C3,2018-09-11,Control,Z,14,27.1272,16.7078833333333,-62.23888,Leeward,Sand,33.125,2.7,4,3
C3,2018-09-23,Control,Z,12,27.1272,16.7078833333333,-62.23888,Leeward,Sand,28.6,6.44,15,7
C3,2018-11-21,Control,Z,29,27.1272,16.7078833333333,-62.23888,Leeward,Sand,35.8,5.7,5,4
